,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.5839809932446342,0.2193524473345312,0.16431757175295866,0.9997693442754311,0.007384778304241386,0.005995580632871879,872.9698406122415,1270.9463675133932,1.0094024155178531
beta,0.5611618697217569,0.056388976291427445,0.4560898126241965,0.6695924065434596,0.001114578369926984,0.0009575587333018583,2562.207597703112,2601.640881989224,1.0019683482042574
sigma,0.7166359240178345,0.04241436752503103,0.6321339370406696,0.7912043346270223,0.0008543277334721305,0.0007702301026498053,2442.52125502902,2327.564269566987,1.0006285405604216
tau,0.5898042664686484,0.1910623435577728,0.2941049568750771,0.9549222280460637,0.006706245365462805,0.005594863968140464,815.9820129868382,1418.982376248777,1.000889367172709
z[0],-1.2098044078490802,0.5283473744853268,-2.1785477120089927,-0.1859526118773243,0.016889230116503805,0.009421478627018004,975.6316455334879,1831.4136992044637,1.0076270344044882
z[1],0.9095534874595207,0.4939696596956553,0.013283577734864147,1.8596673950367475,0.014430239204361262,0.008458934425000838,1164.9584510664938,1920.3184396858994,1.003321968876114
z[2],-1.3708070762497973,0.542663898825932,-2.376782239397505,-0.312544136134625,0.01722115686265105,0.009365956421048517,989.3559018189136,1760.8225352259617,1.0061239689978874
z[3],1.0882593520935149,0.5146166944974839,0.17343114866971582,2.0950407467625785,0.015411111621559035,0.008537042895497915,1100.5597143110542,1835.7296975967477,1.0031593352399377
z[4],-0.09048901210260338,0.44065967786613564,-0.8466479117539288,0.7999122578010446,0.012345801765594053,0.007640783200355427,1268.6147962368732,2001.2435701860197,1.0040218206140836
z[5],0.15510930700585665,0.4523923643820226,-0.7327994759138643,0.9588424314017802,0.012963754365813585,0.008110748806010365,1212.5727483938622,1911.3447999002224,1.0053579137072601
z[6],0.28410511481815287,0.4489178204828866,-0.5365452116771137,1.1496962614646629,0.013051316674672062,0.007549187177511755,1185.4113409829556,1963.2729986984414,1.0062792542812633
z[7],0.24112484010126128,0.4458776693550365,-0.6175186857252521,1.051104321914435,0.012730600091639031,0.0073788452929078735,1223.5333343091459,1752.0672364671434,1.0059608033802576
