,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.5825116189077666,0.22411576890186405,0.1538450156166992,0.9921191512996549,0.008564939652235292,0.007570851842441574,707.3701036893259,731.1598597747899,1.002866504151115
beta,0.5880398930661034,0.05765942464294413,0.47970136290828413,0.6952918586851009,0.0009892938536557754,0.0009098428435953468,3395.771590033968,2676.1942223882465,1.0012992240477516
tau,0.5817549966077172,0.18487094538561985,0.2994454913563078,0.9289593982529045,0.0065774284861031315,0.005858370630316629,804.1656762148024,1269.275141156318,1.0024984791810543
z[0],-1.2164301042248984,0.5267780348880733,-2.1691857018388987,-0.21148610912242766,0.01598040646051706,0.008839325862259632,1065.5802667119497,1716.233831966818,1.0031243919895891
z[1],0.9094414694537286,0.49196340835085284,-0.016773051547823686,1.8398046256496816,0.016367908613165297,0.008940198446574982,894.0442317821241,1302.087786913604,1.0029253575350605
z[2],-1.3763476781728494,0.5422345410621663,-2.399694974785791,-0.38892340913041434,0.016406869898049594,0.009281636625836165,1080.4210457549939,1580.1467099107024,1.002480860220675
z[3],1.0957581466809407,0.5216027116527322,0.16053951877071504,2.1123880791672085,0.018140411871932483,0.0100541953327829,820.1374369781145,1088.7174200289203,1.0018461018432145
z[4],-0.09814974664223206,0.44600272674848984,-0.9215627062076835,0.7360452840792532,0.013115218284137697,0.0071056986774539616,1156.0626076967603,2003.332363352082,1.0016174797178743
z[5],0.16975797767847645,0.45235038068418887,-0.7061517879445155,0.9801297456820219,0.013608588466506364,0.00800622268863726,1099.1454074072942,1626.9388419555842,1.0020019512336293
z[6],0.30186626185857324,0.4456982433072156,-0.558352967297282,1.1057179135147797,0.014235273074267554,0.00789057306998521,974.739830742101,1402.865131389935,1.0019338302699277
z[7],0.2424370547568518,0.45695338965930316,-0.5962360561911446,1.1080528299963721,0.014143515109687012,0.008667430576012328,1035.8745577411166,1553.418985655411,1.0011803953259948
sigma,0.7155635211621262,0.041913104895762346,0.6391422546358669,0.7967293909705171,0.0008207477992470964,0.0007172660675215985,2598.5227655108165,2492.641442040697,1.0013594530076482
