,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.3717475059045905,0.2447488744361332,-0.058386460482952394,0.8579961126255766,0.008436375267124745,0.005797890946554201,832.383767609093,1365.1948881400276,1.0052960624580223
beta,0.2634964241503019,0.055815396182752566,0.16106891181246402,0.36950311252722295,0.001092625728535143,0.0009274157508107916,2608.5212185740793,2404.6803464798345,1.0044222372669132
tau,0.6506583706241673,0.21098449967843028,0.32297811114857355,1.0077517926544812,0.006148670126818847,0.006654558733460628,1072.3155429679186,1527.1648314766005,1.0036402915519096
z[0],-0.1444326776471942,0.4284325618115651,-0.956674294798397,0.6351535141397409,0.012982425413573357,0.007518696625840498,1088.1065575970254,2027.9983720350763,1.0028963577993033
z[1],1.1289461060625876,0.5066207307809864,0.21031106657634935,2.0894288135348114,0.015479322443579413,0.008381153093549854,1070.2860506087318,1842.2608914495154,1.0048313278192975
z[2],-0.9325644616482703,0.4867204317002694,-1.8662575236690004,-0.0716860518608559,0.014845809311472887,0.008111815534226484,1064.5135846722837,1335.36836990294,1.0030415898295375
z[3],-0.48006125152291396,0.4449683391770058,-1.3103885049702115,0.3708184750899997,0.01343316603380449,0.007341185899866035,1090.2155893460056,1680.093323279447,1.004600728011238
z[4],0.39296541668330587,0.43439908873923927,-0.41015197580491547,1.2057603852250236,0.013510549062070233,0.007272829805226002,1033.2424503798568,1809.3790144554903,1.0039972576490177
z[5],-1.0625382878578955,0.5016563871794325,-2.071860469868723,-0.19205522149641455,0.015748998634923357,0.008988463328532696,990.3727210298258,1449.1281352817448,1.004633341437654
z[6],-0.23847535249753787,0.4246817732609071,-0.9880136225055081,0.5926437082841775,0.012941222446267405,0.007014109231992487,1075.0524869747553,1720.5974068681599,1.0028739171274634
z[7],1.399005050187699,0.5570315773416133,0.3439283688614228,2.4447747027891076,0.017387090586879646,0.011309313967481622,1027.8860650396539,1711.6097878887401,1.005882542129983
sigma,0.679517182321363,0.038403558499671545,0.607377236578944,0.74796538130168,0.0007829278152277683,0.0007175324193452897,2426.1970870089276,2043.0066848985912,1.002257085236001
